Lot Area,Neighborhood,Overall Qual,Overall Cond,Year Built,Year Remod,Mas Vnr Area,Exter Qual,Total Bsmt SF,1st Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Garage Finish,Garage Cars,Garage Area,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
11250,ClearCr,4,5,1957,1989,0,TA,1104,1104,1788,1,1,5,1,TA,8,Min2,Unf,1,304,11,2009,WD ,Normal,161500
25095,ClearCr,5,8,1968,2003,0,TA,1437,1473,1473,2,1,1,1,Ex,5,Typ,Unf,1,452,6,2009,WD ,Partial,143000
17140,Edwards,4,6,1956,1956,0,TA,1134,1229,1229,0,1,3,1,TA,6,Typ,RFn,1,284,4,2009,WD ,Normal,135000
12342,Edwards,4,5,1940,1950,0,TA,861,861,861,0,1,1,1,TA,4,Typ,Unf,2,539,3,2009,WD ,Normal,82500
10708,ClearCr,5,5,1955,1993,0,Gd,1617,1867,1867,1,1,2,1,TA,7,Typ,Fin,1,303,11,2009,COD,Normal,190000
13680,Edwards,3,5,1955,1955,0,TA,0,1733,1733,0,2,4,1,TA,8,Min2,Unf,2,452,6,2009,WD ,Normal,139600
15635,Edwards,4,5,1954,1954,0,TA,0,1383,1383,0,1,2,1,TA,6,Mod,Unf,2,498,10,2009,WD ,Normal,122000
9855,Edwards,6,5,1956,1956,0,TA,1436,1689,1689,0,1,3,1,TA,7,Typ,Unf,2,480,11,2009,COD,Normal,127500
9571,Edwards,5,5,1956,1956,0,TA,1073,1073,1073,1,1,2,1,TA,5,Typ,Unf,1,340,2,2009,WD ,Normal,121500
9571,Edwards,5,3,1958,1958,0,TA,1276,1276,1276,0,1,3,1,TA,5,Mod,Unf,1,350,6,2009,COD,Abnorml,60000
9350,Edwards,6,7,1946,1950,0,TA,747,892,1639,0,1,3,1,Gd,6,Typ,Unf,1,240,7,2009,WD ,Normal,154400
9340,Edwards,4,6,1941,1950,0,TA,672,672,672,1,1,2,1,TA,4,Typ,Unf,1,234,8,2009,WD ,Normal,113000
7440,Edwards,5,6,1954,1954,0,TA,1089,1089,1089,1,1,3,1,TA,5,Typ,RFn,1,252,9,2009,WD ,Normal,125000
11500,Edwards,4,3,1957,1957,0,TA,0,845,845,0,1,3,1,TA,5,Typ,Unf,1,290,1,2009,WD ,Normal,84000
4235,Edwards,5,5,1984,1984,149,Gd,1049,1049,1049,1,2,2,1,Gd,5,Typ,Fin,1,266,2,2009,WD ,Normal,139500
11409,Edwards,5,4,1949,2008,0,TA,768,1148,1716,0,1,3,1,TA,8,Min2,Unf,1,281,1,2009,WD ,Normal,131000
9060,Edwards,6,5,1939,1950,0,TA,560,698,1258,0,1,2,1,TA,6,Typ,Unf,1,280,10,2009,WD ,Normal,105000
9084,Edwards,4,5,1940,1950,0,TA,755,755,1510,1,1,4,1,TA,7,Typ,Unf,1,296,10,2009,WD ,Normal,108000
10778,SawyerW,7,6,1990,1991,0,Gd,1054,1061,1061,1,1,1,1,Gd,4,Typ,Unf,2,462,7,2009,WD ,Normal,162000
19255,SawyerW,6,5,1983,1983,100,Gd,520,1338,1338,0,1,2,1,Gd,5,Min2,Unf,2,576,9,2009,WD ,Normal,156500
12327,SawyerW,8,8,1983,2009,0,Gd,1496,1496,2132,1,1,1,1,Gd,5,Min2,Fin,2,612,9,2009,WD ,Normal,316600
14684,SawyerW,7,7,1990,1991,234,Gd,2158,2196,2196,0,2,3,1,Gd,7,Typ,RFn,3,701,6,2009,WD ,Normal,271900
9317,SawyerW,7,5,1993,1993,137,Gd,740,1006,1775,1,2,3,1,Gd,7,Typ,Unf,2,425,7,2009,WD ,Normal,213000
10560,SawyerW,7,5,1993,1994,0,Gd,1079,1079,1879,1,2,3,1,Gd,8,Typ,RFn,2,473,8,2009,WD ,Normal,239900
9828,SawyerW,8,5,1995,1995,0,Gd,1128,1142,2020,0,2,3,1,Gd,8,Typ,RFn,2,466,6,2009,WD ,Normal,239500
26400,SawyerW,5,7,1880,2007,0,Gd,0,1288,2016,0,1,4,1,TA,7,Mod,Unf,2,576,6,2009,WD ,Normal,131000
7018,SawyerW,5,5,1979,1979,0,TA,0,1535,1535,0,2,4,2,TA,8,Typ,Unf,2,410,6,2009,WD ,Alloca,118964
7018,SawyerW,5,5,1979,1979,275,TA,1086,1224,1224,2,0,2,2,TA,6,Typ,Unf,2,528,6,2009,WD ,Alloca,153337
7018,SawyerW,5,5,1979,1979,0,TA,0,1114,2228,0,2,6,2,TA,8,Typ,Unf,2,720,6,2009,WD ,Alloca,147983
7018,SawyerW,5,5,1979,1979,0,TA,0,1535,1535,0,2,4,2,TA,8,Typ,Unf,2,400,6,2009,WD ,Alloca,118858
7018,SawyerW,5,5,1979,1979,0,TA,0,1535,1535,0,2,4,2,TA,8,Typ,Unf,2,400,6,2009,WD ,Alloca,118858
7018,SawyerW,5,5,1979,1979,0,TA,0,1120,2240,0,2,6,2,TA,12,Typ,Unf,2,528,6,2009,WD ,Alloca,142953
7040,SawyerW,5,5,1979,1979,216,TA,1094,1229,1229,2,0,2,2,Gd,6,Typ,Unf,2,672,6,2009,WD ,Alloca,148325
7007,SawyerW,5,5,1979,1979,0,TA,0,1513,1513,0,2,4,2,TA,8,Typ,Unf,2,400,6,2009,WD ,Alloca,113722
11855,SawyerW,7,5,2000,2000,23,TA,1168,1168,2787,2,4,6,2,TA,8,Typ,Fin,4,820,10,2009,WD ,Normal,269500
7939,SawyerW,7,5,2000,2000,23,TA,1168,1168,2787,2,4,6,2,TA,8,Typ,Fin,4,820,10,2009,WD ,Normal,269500
7976,SawyerW,7,5,2000,2000,23,TA,1168,1168,2787,2,4,6,2,TA,8,Typ,Fin,4,820,10,2009,WD ,Normal,269500
10933,CollgCr,9,5,2009,2009,242,Ex,1555,1680,1680,1,1,1,1,Ex,8,Typ,Fin,3,1138,7,2009,New,Partial,323262
10637,CollgCr,8,5,2007,2008,336,Gd,1705,1718,1718,1,2,3,1,Gd,7,Typ,RFn,3,826,9,2009,WD ,Normal,297000
10226,CollgCr,8,5,2008,2008,270,Gd,1622,1630,1630,1,2,3,1,Ex,8,Typ,RFn,3,860,1,2009,WD ,Normal,295493
10816,CollgCr,9,5,2008,2008,364,Ex,1720,1720,1720,1,2,3,1,Ex,8,Typ,RFn,3,846,11,2009,WD ,Normal,332000
9178,CollgCr,8,5,2008,2008,0,Gd,1468,1468,1468,0,2,3,1,Gd,6,Typ,RFn,3,904,6,2009,WD ,Normal,239900
10769,CollgCr,8,5,2007,2007,0,Gd,866,866,1768,0,2,3,1,Gd,7,Typ,RFn,2,578,4,2009,WD ,Normal,212000
11422,CollgCr,8,5,2007,2008,352,Gd,1838,1838,1838,1,2,3,1,Gd,7,Typ,RFn,2,524,4,2009,WD ,Normal,272500
11923,CollgCr,9,5,2007,2007,0,Gd,1800,1800,1800,0,2,2,1,Ex,7,Typ,Fin,2,702,5,2009,WD ,Normal,239000
8814,CollgCr,7,5,2006,2006,180,Gd,1604,1604,1604,1,2,3,1,Gd,8,Typ,RFn,2,660,3,2009,WD ,Abnorml,220000
6762,CollgCr,7,5,2007,2007,0,Gd,1282,1290,1290,1,2,2,1,Gd,6,Typ,RFn,2,662,5,2009,WD ,Normal,200000
10324,CollgCr,8,5,2008,2008,140,Gd,1254,1254,1254,1,2,2,1,Gd,5,Typ,RFn,3,810,3,2009,WD ,Normal,221800
7314,CollgCr,7,5,2007,2007,82,Gd,1232,1232,1232,1,2,2,1,Gd,6,Typ,RFn,2,632,2,2009,WD ,Normal,194500
11645,CollgCr,8,5,2005,2006,76,Gd,1498,1498,1498,0,2,3,1,Gd,7,Typ,Fin,3,844,3,2009,WD ,Normal,237000
11646,CollgCr,6,5,2005,2006,0,Gd,704,704,1422,0,2,3,1,Gd,7,Typ,Fin,2,440,7,2009,WD ,Normal,173000
12800,SawyerW,7,5,1989,1989,145,Gd,1518,1644,1644,1,2,2,1,Gd,5,Typ,Fin,2,569,8,2009,WD ,Normal,275000
16698,ClearCr,7,5,1992,1993,0,Gd,1449,944,1759,1,2,3,1,Gd,7,Typ,Unf,2,525,6,2009,WD ,Normal,233500
28698,ClearCr,5,5,1967,1967,0,TA,1013,1160,2126,0,2,3,1,TA,7,Min2,Fin,2,538,6,2009,WD ,Abnorml,185000
12464,CollgCr,5,5,1996,1996,0,TA,1040,1040,1040,1,1,3,1,Gd,6,Typ,Unf,2,576,11,2009,WD ,Normal,152000
9757,CollgCr,5,7,1994,1994,0,TA,990,990,990,1,1,3,1,TA,5,Typ,RFn,1,440,10,2009,WD ,Normal,143000
15426,CollgCr,6,5,1997,1997,0,TA,928,928,1764,1,2,3,1,Gd,7,Typ,RFn,2,470,8,2009,WD ,Normal,231500
10667,CollgCr,7,6,1996,1996,0,Gd,799,827,1661,1,2,3,1,Gd,6,Typ,RFn,2,550,4,2009,ConLw,Normal,212000
14753,CollgCr,7,5,1998,1998,0,TA,1463,1463,1463,1,2,3,1,TA,5,Typ,Fin,2,539,12,2009,WD ,Normal,207000
10859,CollgCr,5,5,1994,1995,0,TA,1097,1097,1097,0,1,3,1,TA,6,Typ,Unf,2,672,6,2009,WD ,Normal,145000
8072,CollgCr,5,5,1994,1995,0,TA,990,990,990,1,1,3,1,TA,5,Typ,Unf,2,480,5,2009,WD ,Normal,138000
10400,CollgCr,7,5,1998,1998,0,TA,866,866,1779,0,2,3,1,Gd,6,Typ,RFn,2,546,3,2009,WD ,Normal,197900
10335,CollgCr,7,5,1999,1999,183,Gd,1490,1501,1501,1,2,3,1,Gd,6,Typ,RFn,2,577,6,2009,WD ,Normal,204000
9017,CollgCr,7,5,1999,1999,0,Gd,1431,1431,1431,1,2,3,1,Gd,6,Typ,Fin,2,666,9,2009,WD ,Normal,192000
8750,CollgCr,6,5,1998,1998,120,TA,928,928,1772,1,2,3,1,TA,7,Typ,RFn,2,492,4,2009,WD ,Normal,200000
8935,CollgCr,7,5,2002,2002,95,Gd,831,831,1660,0,2,3,1,Gd,7,Typ,RFn,2,493,7,2009,WD ,Normal,195000
9808,CollgCr,7,5,2002,2002,110,Gd,1573,1573,1573,1,2,3,1,Gd,6,Typ,RFn,2,544,3,2009,WD ,Normal,227000
12420,CollgCr,7,5,2001,2001,0,Gd,944,944,1840,1,2,3,1,Gd,6,Typ,RFn,2,622,6,2009,WD ,Normal,230000
16285,CollgCr,7,5,2001,2002,0,Gd,1413,1430,1430,0,2,3,1,Gd,6,Typ,RFn,2,605,6,2009,WD ,Normal,187100
10739,CollgCr,7,5,2002,2001,68,Gd,1431,1444,1444,1,2,3,1,Gd,6,Typ,RFn,2,577,4,2009,WD ,Normal,203000
11166,CollgCr,7,5,2001,2001,180,Gd,1492,1492,1492,0,2,3,1,Gd,6,Typ,RFn,2,608,7,2009,WD ,Family,201000
8430,CollgCr,5,5,1978,1978,136,TA,1040,1040,1040,0,2,3,1,TA,5,Typ,NA,0,0,8,2009,WD ,Normal,124000
16269,CollgCr,5,5,1978,1978,76,TA,907,907,907,0,1,3,1,TA,5,Typ,Unf,1,343,7,2009,WD ,Normal,140000
6950,CollgCr,5,7,1979,1979,40,TA,914,914,914,1,1,2,1,TA,5,Typ,Unf,2,444,10,2009,WD ,Normal,134900
8800,CollgCr,5,7,1977,2008,0,TA,1040,1040,1040,0,2,3,1,Gd,5,Typ,Unf,2,484,9,2009,WD ,Normal,150500
7000,CollgCr,5,8,1978,2005,90,Gd,864,864,864,1,1,3,1,TA,6,Typ,Unf,1,336,7,2009,WD ,Normal,136500
9286,CollgCr,5,7,1977,1989,0,TA,1268,1268,1268,0,1,3,1,Gd,5,Typ,Unf,1,252,10,2009,WD ,Normal,143500
15523,CollgCr,5,6,1972,1972,0,TA,864,864,864,1,1,3,1,TA,5,Typ,Unf,1,338,8,2009,WD ,Normal,133500
7200,CollgCr,5,5,1972,1972,0,TA,894,894,894,0,1,2,1,TA,6,Typ,RFn,2,600,9,2009,WD ,Normal,123000
7200,CollgCr,5,8,1972,2003,0,TA,768,768,768,0,1,2,1,TA,5,Typ,Fin,1,396,4,2009,WD ,Normal,133900
8445,CollgCr,5,7,1972,2007,0,TA,768,768,768,1,1,2,1,TA,5,Typ,Unf,2,396,3,2009,WD ,Normal,133000
11664,CollgCr,7,5,2002,2002,0,Gd,1569,1611,1611,1,2,3,1,Gd,6,Typ,RFn,3,1231,9,2009,WD ,Normal,250000
12334,CollgCr,8,5,2003,2003,198,Gd,1068,1068,2184,0,2,4,1,Gd,8,Typ,RFn,2,570,6,2009,WD ,Normal,254750
11838,CollgCr,8,5,2001,2001,0,Gd,1753,1788,1788,0,2,3,1,Ex,7,Typ,RFn,2,522,6,2009,WD ,Normal,236500
11885,CollgCr,8,5,2001,2001,108,Gd,1299,1299,1872,1,2,3,1,Ex,7,Typ,RFn,2,531,11,2009,WD ,Normal,261500
11050,CollgCr,9,5,2000,2000,204,Gd,1440,1476,2153,1,2,3,1,Ex,8,Typ,Fin,3,736,5,2009,WD ,Normal,313000
8749,CollgCr,7,5,2002,2002,,Gd,840,840,1725,0,2,3,1,Gd,6,Typ,RFn,2,550,11,2009,WD ,Normal,198500
11250,CollgCr,7,5,2001,2001,0,Gd,944,944,1870,0,2,3,1,Gd,6,Typ,RFn,2,608,5,2009,WD ,Normal,211000
15750,CollgCr,8,5,1999,2000,260,Gd,1462,1513,1513,1,2,2,1,Gd,5,Typ,Fin,2,521,6,2009,WD ,Normal,220000
11883,CollgCr,7,5,1996,1996,196,Gd,1504,1504,1504,1,2,3,1,Gd,6,Typ,Fin,2,478,6,2009,WD ,Normal,203000
12782,CollgCr,8,5,2002,2003,164,Gd,1822,1828,1828,1,2,3,1,Gd,7,Typ,Fin,2,523,6,2009,WD ,Normal,279500
8750,CollgCr,7,5,1997,1998,209,Gd,1417,1417,1417,1,2,3,1,Gd,7,Typ,Unf,2,511,8,2009,WD ,Normal,210000
9375,CollgCr,7,5,1997,1998,573,TA,1057,1057,2034,1,2,3,1,Gd,8,Typ,RFn,2,645,2,2009,WD ,Normal,219500
8750,CollgCr,7,5,1996,1996,0,Gd,880,909,1716,0,2,2,1,Gd,7,Typ,RFn,2,512,7,2009,WD ,Normal,191000
9100,CollgCr,7,5,2001,2001,0,Gd,1212,1212,1212,0,2,3,1,Gd,6,Typ,RFn,2,573,6,2009,WD ,Normal,178000
9750,CollgCr,7,5,2000,2001,171,Gd,1630,1630,1630,0,2,3,1,Gd,6,Typ,Unf,2,451,10,2009,WD ,Normal,213000
4435,CollgCr,6,5,2003,2004,170,Gd,848,848,848,1,1,1,1,Gd,4,Typ,Fin,2,420,6,2009,WD ,Normal,144000
4435,CollgCr,6,5,2003,2003,170,Gd,848,848,848,1,1,1,1,Gd,4,Typ,Fin,2,420,5,2009,WD ,Normal,140000
10200,CollgCr,8,5,2007,2007,180,Gd,1578,1602,1602,1,2,3,1,Gd,7,Typ,RFn,3,810,1,2009,WD ,Normal,293200
9313,CollgCr,7,5,2004,2004,0,Gd,864,864,1728,0,2,3,1,Gd,7,Typ,RFn,2,572,4,2009,WD ,Normal,190000
8487,CollgCr,7,5,2004,2004,210,Gd,1500,1500,1500,0,2,3,1,Gd,6,Typ,RFn,2,570,8,2009,WD ,Normal,190000
8633,CollgCr,6,5,2005,2005,0,Gd,738,738,1476,1,2,3,1,Gd,7,Typ,Fin,2,540,2,2009,WD ,Normal,173500
11069,CollgCr,6,5,2007,2007,0,Gd,608,608,1396,0,2,3,1,Gd,6,Typ,Fin,2,440,7,2009,WD ,Normal,170000
8777,Edwards,4,5,1949,2003,0,TA,0,1126,1126,0,2,2,1,Gd,5,Typ,Fin,2,520,5,2009,WD ,Normal,108000
9937,Edwards,5,7,1964,1999,0,TA,1486,1486,1486,1,1,3,1,TA,7,Typ,Fin,2,480,3,2009,WD ,Normal,167000
8877,Edwards,4,6,1938,1958,0,TA,816,816,816,1,1,2,1,TA,3,Typ,Unf,1,288,5,2009,WD ,Normal,100000
7301,Edwards,7,5,2003,2003,500,Gd,0,495,1922,0,3,4,1,Gd,7,Typ,RFn,2,672,7,2009,ConLD,Normal,198500
7950,Edwards,6,6,1977,1977,140,TA,690,698,1426,0,1,3,1,TA,6,Typ,Fin,2,440,7,2009,WD ,Normal,159500
10682,Edwards,4,6,1960,1971,0,TA,1014,1149,1149,1,1,3,1,TA,7,Min1,Fin,1,544,7,2009,WD ,Normal,127000
7200,Edwards,6,6,1976,1976,255,TA,1041,1125,1125,1,1,3,1,TA,6,Typ,Unf,1,352,10,2009,WD ,Abnorml,125000
13286,Edwards,9,5,2007,2008,340,Ex,1698,1698,1698,1,2,3,1,Ex,8,Typ,Fin,3,768,2,2009,WD ,Normal,320000
3675,Edwards,6,5,2005,2006,80,TA,547,1072,1072,1,1,2,1,TA,5,Typ,Fin,2,525,4,2009,WD ,Normal,145500
9405,Edwards,5,9,1947,2008,0,TA,698,698,698,0,1,2,1,TA,4,Typ,NA,0,0,6,2009,WD ,Normal,118000
6410,Edwards,4,5,1959,1959,0,TA,876,876,876,0,1,3,1,TA,5,Typ,Unf,1,320,3,2009,WD ,Normal,85000
11767,Edwards,5,5,1950,1950,0,TA,1078,1368,1368,1,1,3,1,TA,6,Min1,RFn,1,195,6,2009,WD ,Normal,120000
8405,Edwards,4,3,1945,1950,0,TA,0,1088,1529,0,2,4,1,TA,9,Mod,Unf,1,240,4,2009,WD ,Normal,98000
4060,Edwards,5,8,1922,1950,0,TA,864,864,864,0,1,2,1,TA,4,Typ,NA,0,0,7,2009,WD ,Normal,99900
10206,Edwards,3,3,1952,1952,0,TA,0,944,944,0,1,2,1,Fa,4,Min1,Unf,2,528,7,2009,WD ,Normal,82000
10926,Edwards,5,5,1959,1959,74,TA,1678,1678,1678,0,2,6,2,TA,10,Typ,NA,0,0,8,2009,WD ,Normal,119900
11767,Edwards,5,5,1956,1956,259,TA,1150,1560,1560,0,1,2,1,TA,7,Min1,Unf,1,313,5,2009,WD ,Normal,103500
8926,Edwards,4,3,1956,1956,0,TA,672,960,960,0,1,3,1,TA,5,Typ,Unf,1,288,10,2009,COD,Abnorml,112000
12354,Edwards,6,8,1920,2000,0,TA,684,684,1196,0,1,3,1,Gd,7,Typ,Unf,2,528,8,2009,ConLI,Normal,110000
8212,Edwards,5,6,1941,1950,0,TA,720,854,1298,0,1,3,1,TA,6,Typ,Unf,1,256,9,2009,WD ,Normal,122000
10998,Edwards,5,5,1941,1960,0,TA,984,984,1604,0,2,3,1,TA,6,Min2,Unf,2,660,7,2009,WD ,Normal,117000
6300,SWISU,5,4,1938,1950,88,TA,832,832,1268,0,1,3,1,TA,7,Typ,Unf,1,250,7,2009,WD ,Abnorml,160000
4500,SWISU,5,5,1932,2000,0,TA,793,848,1520,0,1,3,1,TA,6,Typ,Unf,1,281,7,2009,WD ,Abnorml,159434
8400,SWISU,2,5,1920,1950,0,TA,290,438,438,0,1,1,1,Fa,3,Typ,Unf,1,246,1,2009,WD ,Normal,60000
9900,SWISU,6,7,1940,1950,0,TA,778,944,1489,0,2,3,1,TA,7,Typ,Unf,1,240,7,2009,WD ,Normal,139500
15863,SWISU,7,3,1920,1970,0,TA,824,1687,3082,1,2,5,1,TA,12,Typ,Fin,2,672,8,2009,WD ,Normal,197000
5707,SWISU,6,6,1935,1950,0,TA,583,647,1242,0,1,3,1,TA,6,Typ,Unf,1,180,3,2009,WD ,Normal,105000
7804,SWISU,4,3,1928,1950,0,TA,1122,1328,1981,1,2,4,1,Gd,7,Min2,Unf,2,576,12,2009,WD ,Normal,135000
8574,Crawfor,6,8,1916,2000,0,Gd,816,1232,1232,0,1,3,1,Gd,6,Typ,Unf,2,440,10,2009,WD ,Normal,147500
6171,SWISU,6,6,1925,1990,0,TA,976,1160,1608,0,2,3,1,Gd,7,Typ,Unf,1,216,10,2009,WD ,Normal,137450
7200,SWISU,7,9,1936,2007,0,Gd,560,575,1135,1,1,3,1,Gd,6,Typ,RFn,2,576,4,2009,WD ,Normal,155000
7558,Crawfor,6,6,1928,1950,0,TA,896,1172,1913,0,1,3,1,TA,9,Typ,Unf,2,342,3,2009,WD ,Normal,177000
6292,SWISU,7,7,1928,1950,0,TA,861,877,1477,0,2,3,1,TA,6,Typ,Unf,1,216,8,2009,WD ,Normal,145000
7155,Crawfor,7,8,1918,1990,0,TA,600,628,1228,0,1,3,1,TA,6,Typ,Unf,1,215,5,2009,WD ,Normal,137000
10918,Crawfor,7,9,1926,2004,0,Gd,1276,1276,2080,0,1,3,1,Gd,9,Typ,Unf,1,282,6,2009,WD ,Normal,234000
13680,Crawfor,5,6,1940,1950,0,TA,840,840,1567,1,1,2,1,TA,6,Min2,Unf,2,440,2,2009,WD ,Normal,205000
7500,Crawfor,6,7,1942,1950,0,TA,771,753,1494,0,1,3,1,Gd,7,Typ,Unf,1,213,11,2009,WD ,Normal,177500
9600,Crawfor,5,7,1940,1950,0,Gd,728,976,1308,1,1,2,1,TA,7,Min2,Unf,1,256,6,2009,WD ,Normal,160000
14680,Crawfor,5,4,1960,1960,0,TA,1273,1273,1273,0,1,2,1,TA,5,Typ,Unf,1,307,6,2009,WD ,Normal,155000
13360,Crawfor,5,7,1921,2006,0,TA,876,964,964,1,1,2,1,TA,5,Typ,Unf,2,432,8,2009,WD ,Normal,163500
7681,Crawfor,5,6,1921,1950,0,TA,731,820,1343,0,1,3,1,TA,7,Typ,Unf,1,186,7,2009,WD ,Normal,154900
8145,Crawfor,7,6,1940,1950,0,TA,920,1240,2480,0,2,5,2,TA,13,Typ,Unf,2,400,7,2009,WD ,Normal,205000
9100,Crawfor,5,6,1954,1954,0,TA,1112,1112,1112,1,1,2,1,TA,6,Typ,Unf,1,390,10,2009,WD ,Family,144800
12000,Crawfor,7,7,1941,1950,0,TA,704,860,1564,0,1,3,1,Fa,7,Typ,Unf,1,234,7,2009,WD ,Normal,174500
13339,Crawfor,6,6,1960,1960,132,TA,1561,1561,1561,1,2,3,1,TA,6,Typ,Fin,2,463,5,2009,WD ,Normal,193000
15600,Crawfor,5,7,1949,2005,0,TA,1067,986,1523,1,2,3,1,Fa,7,Maj2,Unf,1,295,10,2009,WD ,Normal,158000
14000,Crawfor,6,8,1950,2004,0,TA,1092,1152,1152,0,1,3,1,Gd,6,Typ,Unf,1,300,8,2009,WD ,Family,158500
17500,Crawfor,6,5,1954,1954,420,TA,1310,1906,1906,1,1,3,1,TA,6,Typ,Unf,2,576,1,2009,WD ,Normal,224000
1733,Blueste,6,6,1980,1980,0,TA,516,516,1032,0,1,2,1,TA,5,Typ,Unf,2,452,5,2009,WD ,Normal,115000
1488,Blueste,6,6,1980,1992,0,TA,561,561,1229,1,1,2,1,Gd,5,Typ,Fin,2,462,10,2009,WD ,Normal,137000
1612,Blueste,6,6,1980,1980,0,TA,561,561,1229,0,1,2,1,TA,5,Typ,Fin,2,462,7,2009,WD ,Normal,121000
1300,Blueste,6,6,1980,1980,0,TA,561,561,1229,0,1,2,1,TA,5,Typ,Fin,2,462,5,2009,WD ,Normal,124000
13607,Crawfor,6,6,1986,1986,242,TA,572,1182,1982,1,2,3,1,TA,6,Typ,Fin,2,501,4,2009,WD ,Normal,208000
17597,Crawfor,7,9,1971,2009,0,Gd,1803,2365,2365,1,2,3,1,Ex,7,Min1,Fin,2,551,7,2009,WD ,Normal,315000
21695,Crawfor,6,9,1988,2007,260,Gd,880,1680,1680,1,2,3,1,Gd,5,Typ,Fin,2,540,12,2009,WD ,Normal,222000
10690,IDOTRR,5,7,1920,1997,0,TA,672,672,1344,0,1,3,1,TA,6,Typ,Unf,1,468,7,2009,WD ,Normal,147000
8660,IDOTRR,5,6,1900,1993,0,TA,760,928,2168,0,2,5,1,Gd,11,Typ,Unf,2,576,12,2009,WD ,Normal,123000
6402,IDOTRR,5,5,1920,1950,0,TA,596,596,1192,0,1,3,1,TA,6,Typ,Unf,1,189,7,2009,WD ,Normal,78000
8470,IDOTRR,3,2,1915,1982,0,Fa,1013,1013,1526,0,1,2,1,Fa,6,Typ,NA,0,0,10,2009,ConLD,Abnorml,85000
10200,IDOTRR,4,6,1925,1950,0,TA,572,572,572,0,1,2,1,TA,4,Typ,Unf,1,200,5,2009,WD ,Normal,75000
3843,Crawfor,8,5,2007,2008,174,Ex,1596,1648,1648,1,2,2,1,Ex,5,Typ,Fin,2,482,6,2009,New,Partial,230000
21780,IDOTRR,2,4,1910,1950,0,Fa,0,810,810,0,1,1,1,TA,4,Min1,Unf,1,280,3,2009,ConLD,Normal,57625
10125,Mitchel,8,5,2000,2001,0,Gd,1107,1040,2052,0,2,3,1,Gd,7,Typ,Fin,3,642,5,2009,WD ,Normal,251000
12822,Mitchel,7,5,2003,2003,0,Gd,1434,1518,2149,1,1,1,1,Gd,6,Typ,RFn,2,670,8,2009,WD ,Abnorml,239686
12118,Mitchel,7,5,2004,2005,108,Gd,1710,1710,1710,0,2,3,1,Gd,7,Typ,Fin,2,550,4,2009,WD ,Normal,240000
12209,Mitchel,6,5,2001,2002,0,TA,804,804,1961,1,2,3,1,Gd,7,Typ,Fin,2,560,6,2009,WD ,Normal,215000
9750,Mitchel,6,6,1977,1977,0,TA,902,926,926,1,1,2,1,TA,5,Typ,Unf,1,351,4,2009,WD ,Normal,156450
9360,Mitchel,6,7,1977,1977,0,TA,957,1287,1287,1,1,2,1,TA,5,Typ,RFn,2,541,11,2009,WD ,Normal,173000
10125,Mitchel,5,5,1977,1977,0,TA,0,1302,1734,0,2,4,2,Gd,8,Typ,Unf,2,539,8,2009,COD,Normal,126000
9947,Mitchel,7,5,1990,1991,0,TA,1188,1217,1217,1,2,3,1,Gd,6,Typ,Unf,2,497,6,2009,WD ,Normal,173000
11070,Mitchel,5,5,1991,1991,0,TA,1582,1595,1595,1,2,2,1,TA,5,Typ,Unf,2,672,4,2009,COD,Abnorml,152000
14375,Timber,6,6,1958,1958,541,TA,819,1344,1344,0,1,3,1,Gd,7,Typ,RFn,2,525,1,2009,COD,Abnorml,137500
215245,Timber,7,5,1965,1965,0,TA,2136,2036,2036,2,2,3,1,TA,8,Typ,RFn,2,513,6,2009,WD ,Normal,375000
12898,Timber,9,5,2007,2008,70,Gd,1620,1620,1620,1,2,2,1,Ex,6,Typ,Fin,3,912,9,2009,WD ,Normal,315500
13159,Timber,7,5,2009,2009,0,TA,846,846,1692,0,2,3,1,Gd,6,Typ,RFn,2,650,7,2009,New,Partial,224500
13438,Timber,9,5,2008,2008,246,Ex,2190,2036,2036,1,2,3,1,Ex,9,Typ,Fin,3,780,7,2009,WD ,Normal,410000
14463,Timber,9,5,2008,2008,406,Ex,1641,1641,1641,1,2,3,1,Ex,7,Typ,Fin,3,885,1,2009,WD ,Normal,316500
8925,Timber,8,5,2007,2007,0,Gd,1466,1466,1466,0,2,3,1,Gd,7,Typ,Fin,3,610,7,2009,WD ,Normal,201000
11457,Timber,6,5,1988,1988,0,TA,1392,1412,1412,1,2,3,1,Gd,6,Typ,Unf,2,576,3,2009,WD ,Normal,175000
9839,Timber,6,8,1980,2006,0,TA,712,1375,2237,0,2,3,1,Gd,7,Typ,Fin,2,440,2,2009,WD ,Normal,204000
14419,Timber,7,5,1987,1989,310,TA,1645,1479,1479,2,2,3,1,Gd,7,Min1,Fin,2,578,7,2009,WD ,Normal,213500
6853,Timber,8,5,2001,2002,136,Gd,1267,1296,1296,1,2,2,1,Gd,6,Typ,Fin,2,471,6,2009,WD ,Normal,220000
9157,Timber,7,5,2003,2003,0,Gd,912,1072,2014,0,2,3,1,Gd,9,Typ,Fin,2,486,2,2009,WD ,Abnorml,170000
14601,Timber,9,5,2006,2006,584,Ex,1838,1838,1838,1,2,2,1,Ex,8,Typ,Fin,3,765,3,2009,WD ,Normal,315000
